책이름,저자,출판사,출간일,가격
달까지 가자,장류진,창비,2021년 04월,"12,600"
86학번 승연이,박선경,북앤피플,2023년 11월,"15,300"
우주 여행자를 위한 한국살이 가이드북,희석,발코니,2023년 07월,"10,710"
완장,윤흥길,현대문학,2024년 03월,"15,120"
경청  ,김혜진,민음사,2022년 10월,"13,500"
"정말 미안하지만, 나는 아무렇지도 않았다",김동식,요다,2018년 04월,"11,700"
소설가 구보 씨의 일일,박태원,소전서가,2023년 10월,"15,300"
내게 무해한 사람 (특별 한정 에디션),최은영,문학동네,2022년 07월,"10,350"
나나,이희영,창비,2021년 10월,"11,700"
미스터 션샤인 1,김수연,알에이치코리아(RHK),2018년 09월,"15,120"
좋은 곳에서 만나요,이유리,안온북스,2023년 07월,"14,400"
수족관,유래혁,포스터샵,2023년 12월,"15,930"
서울 1964년 겨울,김승옥,문학과지성사,2019년 09월,"15,300"
날씨가 좋으면 찾아가겠어요,이도우,시공사,2018년 07월,"12,420"
그 남자네 집,박완서,현대문학,2021년 01월,"11,700"
마르타의 일,박서련,한겨레출판,2019년 09월,"12,600"
누굴 죽였을까,정해연,북다,2024년 02월,"13,950"
한국단편문학선 1,김동인,민음사,2000년 10월,"9,900"
제주도우다 2,현기영,창비,2023년 07월,"15,300"
엄마를 부탁해,신경숙,창비,2008년 10월,"13,500"
82년생 김지영,조남주,민음사,2016년 10월,"12,600"
체공녀 강주룡,박서련,한겨레출판,2018년 07월,"11,700"
"보이지 않는 도시, 퍼머루트 1부 : 공중에 떠 있는 집 2",E. S. 호버트,팩토리나인,2023년 11월,"12,150"
단순한 진심,조해진,민음사,2019년 07월,"11,700"
젊은 근희의 행진,이서수,은행나무,2023년 05월,"13,500"
수난이대,하근찬,사피엔스21,2012년 07월,"7,200"
사랑과 혁명 2,김탁환,해냄,2023년 09월,"16,920"
나는 나를 파괴할 권리가 있다,김영하,복복서가,2022년 05월,"10,350"
아가미 (리커버),구병모,위즈덤하우스,2018년 03월,"13,320"
제주도우다 3,현기영,창비,2023년 07월,"15,300"
나는 지금도 거기 있어,임솔아,문학동네,2023년 09월,"15,120"
미스터 션샤인 2,김수연,알에이치코리아(RHK),2018년 10월,"15,120"
희랍어 시간,한강,문학동네,2011년 11월,"11,700"
므레모사,김초엽,현대문학,2021년 12월,"12,600"
한국이 싫어서,장강명,민음사,2015년 05월,"12,600"
그곳에 엄마가 있었어,윤정모,다산책방,2023년 07월,"15,300"
저만치 혼자서,김훈,문학동네,2022년 06월,"13,500"
사랑과 혁명 3,김탁환,해냄,2023년 09월,"16,920"
아홉 켤레의 구두로 남은 사내,윤흥길,문학과지성사,2001년 02월,"11,700"
"알로하, 나의 엄마들",이금이,창비,2020년 03월,"14,400"
겨울방학,최진영,민음사,2019년 10월,"11,700"
당신들의 천국,이청준,문학과지성사,2012년 09월,"13,500"
고령화 가족,천명관,문학동네,2010년 02월,"10,800"
최은영 소설 3종 특별 한정 에디션,최은영,문학동네,2022년 07월,"31,500"
버드 스트라이크,구병모,창비,2024년 03월,"13,320"
파도가 바다의 일이라면,김연수,문학동네,2015년 10월,"12,600"
칼의 노래,김훈,문학동네,2012년 01월,"12,600"
이제야 언니에게,최진영,창비,2019년 09월,"14,400"
별일은 없고요?,이주란,한겨레출판,2023년 04월,"13,500"
보건교사 안은영 (리커버 특별판),정세랑,민음사,2020년 09월,"12,600"
2029,류광호,몽상가들,2024년 04월,"16,200"
百의 그림자,황정은,창비,2022년 02월,"13,500"
당신 옆을 스쳐간 그 소녀의 이름은,최진영,한겨레출판,2022년 01월,"12,420"
퇴마록 국내편 2,이우혁,엘릭시르,2011년 09월,"15,300"
재벌집 막내아들 3,산경,테라코타,2022년 11월,"15,300"
죽은 왕녀를 위한 파반느,박민규,예담,2009년 07월,"15,300"
언러키 스타트업 ,정지음,민음사,2022년 10월,"13,500"
일 퍼센트,김태호,사계절,2021년 07월,"8,100"
재벌집 막내아들 1,산경,테라코타,2022년 11월,"15,300"
노랜드,천선란,한겨레출판,2022년 06월,"14,220"
투명인간,성석제,창비,2014년 06월,"14,400"
토지 2,박경리,다산책방,2023년 06월,"15,300"
재벌집 막내아들 2,산경,테라코타,2022년 11월,"15,300"
